"searchResultsLargeThumbnail href","s-image src","action href","classifiedTitle","titleIcon href","titleIcon src","searchResultsAttributeValue","searchResultsAttributeValue 2","classified-price-container","searchResultsDateValue","searchResultsDateValue 2","searchResultsLocationValue"
"https://www.sahibinden.com/ilan/emlak-konut-kiralik-fsm-bulvarina-20mt-mesafede-3-plus1-200m2-ebvyn.bany.ara-kat-kiralik-1137843847/detay","https://i0.shbdn.com/photos/84/38/47/lthmb_1137843847mci.jpg","https://www.sahibinden.com/kiralik?pagingOffset=20&address_district=884&address_district=886&address_town=189&address_city=16#","FSM BULVARINA 20mt MESAFEDE 3+1*200m2 EBVYN.BANY.ARA KAT KİRALIK","https://mulkedinbursa.sahibinden.com/","https://s0.shbdn.com/assets/images/iconStore@2x:c1d32ca031d86c6735fd31957ee635cd.png","200","3+1","38.000 TL","16 Mart","2026","AtaevlerFethiye Mah."
"https://www.sahibinden.com/ilan/emlak-konut-kiralik-elfi-den-odunluk-prestij-parkta-kiralik-4-plus1-arakat-daire-1299784036/detay","https://i0.shbdn.com/photos/78/40/36/lthmb_1299784036pu6.jpg","https://www.sahibinden.com/kiralik?pagingOffset=20&address_district=884&address_district=886&address_town=189&address_city=16#","ELFİ DEN ODUNLUK PRESTİJ PARKTA KİRALIK 4+1 ARAKAT DAİRE","https://elfigayrimenkul.sahibinden.com/","https://s0.shbdn.com/assets/images/iconStore@2x:c1d32ca031d86c6735fd31957ee635cd.png","202","4+1","68.000 TL","16 Mart","2026","BeşevlerOdunluk Mah."
"https://www.sahibinden.com/ilan/emlak-konut-kiralik-provey-vera-nilufer-besevler-konak-mh-kiralik-3-plus1-luks-daire-1299160766/detay","https://i0.shbdn.com/photos/16/07/66/lthmb_1299160766kni.jpg","https://www.sahibinden.com/kiralik?pagingOffset=20&address_district=884&address_district=886&address_town=189&address_city=16#","PROVEY VERA NİLÜFER BEŞEVLER KONAK MH. KİRALIK 3+1 LÜKS DAİRE","https://proveyveragarimenkul.sahibinden.com/","https://s0.shbdn.com/assets/images/iconStore@2x:c1d32ca031d86c6735fd31957ee635cd.png","155","3+1","53.000 TL","16 Mart","2026","BeşevlerKonak Mah."
"https://www.sahibinden.com/ilan/emlak-konut-kiralik-nesrin-fuat-bursali-ilkokulu-karsisi-1276945148/detay","https://i0.shbdn.com/photos/94/51/48/lthmb_1276945148z16.jpg","https://www.sahibinden.com/kiralik?pagingOffset=20&address_district=884&address_district=886&address_town=189&address_city=16#","NESRİN FUAT BURSALI İLKOKULU KARŞISI","https://lidergayrimenkul.sahibinden.com/","https://s0.shbdn.com/assets/images/iconStore@2x:c1d32ca031d86c6735fd31957ee635cd.png","130","3+1","30.000 TL","16 Mart","2026","AtaevlerCumhuriyet Mah."
"https://www.sahibinden.com/ilan/emlak-konut-kiralik-nilufer-balat-ta-3-plus1-ara-kat-havuzlu-sitede-kiralik-daire-1297261023/detay","https://i0.shbdn.com/photos/26/10/23/lthmb_1297261023onl.jpg","https://www.sahibinden.com/kiralik?pagingOffset=20&address_district=884&address_district=886&address_town=189&address_city=16#","NİLÜFER BALAT'TA 3+1 ARA KAT HAVUZLU SİTEDE KİRALIK DAİRE","https://ozkentgayrimenkul.sahibinden.com/","https://s0.shbdn.com/assets/images/iconStore@2x:c1d32ca031d86c6735fd31957ee635cd.png","150","3+1","41.000 TL","16 Mart","2026","AtaevlerBalat Mah."
"https://www.sahibinden.com/ilan/emlak-konut-kiralik-besevler-merkezde-genis-3-plus1-kiralik-daire-1293931898/detay","https://i0.shbdn.com/photos/93/18/98/lthmb_1293931898shx.jpg","https://www.sahibinden.com/kiralik?pagingOffset=20&address_district=884&address_district=886&address_town=189&address_city=16#","Beşevler Merkezde | Geniş 3+1 Kiralık Daire","https://temizgayrimenkul.sahibinden.com/","https://s0.shbdn.com/assets/images/iconStore@2x:c1d32ca031d86c6735fd31957ee635cd.png","145","3+1","32.000 TL","16 Mart","2026","BeşevlerBeşevler Mh."
"https://www.sahibinden.com/ilan/emlak-konut-kiralik-bolge-uzmani-has-emlak-ici-sifirlanmis-kiralik-ara-kat-daire-1268033081/detay","https://i0.shbdn.com/photos/03/30/81/lthmb_12680330810ab.jpg","https://www.sahibinden.com/kiralik?pagingOffset=20&address_district=884&address_district=886&address_town=189&address_city=16#","BÖLGE UZMANI HAS EMLAK İÇİ SIFIRLANMIŞ KİRALIK ARA KAT DAİRE","https://hasemlak.sahibinden.com/","https://s0.shbdn.com/assets/images/iconStore@2x:c1d32ca031d86c6735fd31957ee635cd.png","145","3+1","33.000 TL","16 Mart","2026","BeşevlerÇamlıca Mh."
"https://www.sahibinden.com/ilan/emlak-konut-kiralik-gazi-caddesi-alti-3-plus1-genis-kiralik-daire-1305586480/detay","https://i0.shbdn.com/photos/58/64/80/lthmb_130558648021c.jpg","https://www.sahibinden.com/kiralik?pagingOffset=20&address_district=884&address_district=886&address_town=189&address_city=16#","GAZİ CADDESİ ALTI 3+1 GENİŞ KİRALIK DAİRE","https://ercanyenigayrimenkul.sahibinden.com/","https://s0.shbdn.com/assets/images/iconStore@2x:c1d32ca031d86c6735fd31957ee635cd.png","140","3+1","31.000 TL","16 Mart","2026","AtaevlerCumhuriyet Mah."
"https://www.sahibinden.com/ilan/emlak-konut-kiralik-suryapi-marka-da-uludag-manzarali-kiralik1-plus1-daire-1299825553/detay","https://i0.shbdn.com/photos/82/55/53/lthmb_129982555390a.jpg","https://www.sahibinden.com/kiralik?pagingOffset=40&address_district=884&address_district=886&address_town=189&address_city=16#","SURYAPI MARKA'DA ULUDAĞ MANZARALI KİRALIK1+1 DAİRE","https://duyguonurgayrimenkul.sahibinden.com/","https://s0.shbdn.com/assets/images/iconStore@2x:c1d32ca031d86c6735fd31957ee635cd.png","76","1+1","34.000 TL","16 Mart","2026","BeşevlerOdunluk Mah."
"https://www.sahibinden.com/ilan/emlak-konut-kiralik-ataevler-yukselenpark-sitesinde-kiralik-4-plus1-dubleks-1297236343/detay","https://i0.shbdn.com/photos/23/63/43/lthmb_1297236343gld.jpg","https://www.sahibinden.com/kiralik?pagingOffset=40&address_district=884&address_district=886&address_town=189&address_city=16#","ATAEVLER YÜKSELENPARK SİTESİNDE KİRALIK 4+1 DUBLEKS","https://kristalizgayrimenkul.sahibinden.com/","https://s0.shbdn.com/assets/images/iconStore@2x:c1d32ca031d86c6735fd31957ee635cd.png","190","4+1","65.000 TL","15 Mart","2026","AtaevlerBarış Mh."
"https://www.sahibinden.com/ilan/emlak-konut-kiralik-elif-ten-balat-ada-sapphire-de-kiralik-1-plus1-daireler-1305589516/detay","https://i0.shbdn.com/photos/58/95/16/lthmb_1305589516hsl.jpg","https://www.sahibinden.com/kiralik?pagingOffset=40&address_district=884&address_district=886&address_town=189&address_city=16#","ELİF'TEN BALAT ADA SAPPHIRE'DE KİRALIK 1+1 DAİRELER","https://elifgayrimenkulbursa.sahibinden.com/","https://s0.shbdn.com/assets/images/iconStore@2x:c1d32ca031d86c6735fd31957ee635cd.png","75","1+1","28.000 TL","15 Mart","2026","AtaevlerAhmet Yesevi Mah."
